signal,horizon_hours,forecast_time,forecast_value,recent_mean,recent_std,z_score,rel_jump,flag_upcoming_anomaly
PM2.5,1,2025-02-20 16:00:00,123.80549595075799,137.5545669525508,70.50454442218071,-0.1950097134088758,0.018475087868711156,False
PM2.5,2,2025-02-20 17:00:00,121.47512472120567,137.5545669525508,70.50454442218071,-0.22806249388779168,0.03695017573742231,False
PM2.5,3,2025-02-20 18:00:00,119.14475349165336,137.5545669525508,70.50454442218071,-0.26111527436670756,0.05542526360613347,False
PM2.5,4,2025-02-20 19:00:00,116.81438226210105,137.5545669525508,70.50454442218071,-0.2941680548456235,0.07390035147484462,False
PM2.5,5,2025-02-20 20:00:00,114.48401103254872,137.5545669525508,70.50454442218071,-0.32722083532453955,0.0923754393435559,False
PM2.5,6,2025-02-20 21:00:00,112.15363980299642,137.5545669525508,70.50454442218071,-0.36027361580345524,0.11085052721226694,False
PM2.5,7,2025-02-20 22:00:00,109.8232685734441,137.5545669525508,70.50454442218071,-0.3933263962823713,0.12932561508097823,False
PM2.5,8,2025-02-20 23:00:00,107.49289734389178,137.5545669525508,70.50454442218071,-0.4263791767612872,0.1478007029496894,False
PM2.5,9,2025-02-21 00:00:00,105.16252611433947,137.5545669525508,70.50454442218071,-0.4594319572402031,0.16627579081840052,False
PM2.5,10,2025-02-21 01:00:00,102.83215488478716,137.5545669525508,70.50454442218071,-0.492484737719119,0.18475087868711168,False
PM2.5,11,2025-02-21 02:00:00,100.50178365523485,137.5545669525508,70.50454442218071,-0.5255375181980348,0.20322596655582284,False
PM2.5,12,2025-02-21 03:00:00,98.17141242568253,137.5545669525508,70.50454442218071,-0.5585902986769508,0.221701054424534,False
PM2_MAX,1,2025-02-20 16:00:00,12.594854179061263,11.515823667120827,0.46890883262365574,2.3011520297090704,0.004908578116590172,False
PM2_MAX,2,2025-02-20 17:00:00,12.656375024789192,11.515823667120827,0.46890883262365574,2.4323520443978635,0.009817156233180201,False
PM2_MAX,3,2025-02-20 18:00:00,12.717895870517122,11.515823667120827,0.46890883262365574,2.56355205908666,0.014725734349770373,False
PM2_MAX,4,2025-02-20 19:00:00,12.77941671624505,11.515823667120827,0.46890883262365574,2.694752073775453,0.019634312466360403,False
PM2_MAX,5,2025-02-20 20:00:00,12.84093756197298,11.515823667120827,0.46890883262365574,2.8259520884642497,0.024542890582950574,False
PM2_MAX,6,2025-02-20 21:00:00,12.90245840770091,11.515823667120827,0.46890883262365574,2.9571521031530463,0.029451468699540746,False
PM2_MAX,7,2025-02-20 22:00:00,12.963979253428839,11.515823667120827,0.46890883262365574,3.0883521178418394,0.03436004681613078,True
PM2_MAX,8,2025-02-20 23:00:00,13.025500099156769,11.515823667120827,0.46890883262365574,3.219552132530636,0.03926862493272095,True
PM2_MAX,9,2025-02-21 00:00:00,13.0870209448847,11.515823667120827,0.46890883262365574,3.3507521472194326,0.04417720304931112,True
PM2_MAX,10,2025-02-21 01:00:00,13.148541790612628,11.515823667120827,0.46890883262365574,3.4819521619082257,0.04908578116590115,True
PM2_MAX,11,2025-02-21 02:00:00,13.210062636340558,11.515823667120827,0.46890883262365574,3.6131521765970223,0.05399435928249132,True
PM2_MAX,12,2025-02-21 03:00:00,13.271583482068486,11.515823667120827,0.46890883262365574,3.7443521912858153,0.058902937399081354,True
PM2_MIN,1,2025-02-20 16:00:00,9.672876055379888,9.229135063111471,0.21054471726965782,2.107585495484505,0.0006423505565401802,False
PM2_MIN,2,2025-02-20 17:00:00,9.67908544409311,9.229135063111471,0.21054471726965782,2.13707751406253,0.0012847011130803605,False
PM2_MIN,3,2025-02-20 18:00:00,9.68529483280633,9.229135063111471,0.21054471726965782,2.1665695326405463,0.001927051669620357,False
PM2_MIN,4,2025-02-20 19:00:00,9.691504221519551,9.229135063111471,0.21054471726965782,2.196061551218571,0.002569402226160537,False
PM2_MIN,5,2025-02-20 20:00:00,9.697713610232773,9.229135063111471,0.21054471726965782,2.2255535697965962,0.003211752782700717,False
PM2_MIN,6,2025-02-20 21:00:00,9.703922998945995,9.229135063111471,0.21054471726965782,2.255045588374621,0.0038541033392408977,False
PM2_MIN,7,2025-02-20 22:00:00,9.710132387659215,9.229135063111471,0.21054471726965782,2.2845376069526373,0.004496453895780894,False
PM2_MIN,8,2025-02-20 23:00:00,9.716341776372436,9.229135063111471,0.21054471726965782,2.314029625530662,0.005138804452321074,False
PM2_MIN,9,2025-02-21 00:00:00,9.722551165085658,9.229135063111471,0.21054471726965782,2.3435216441086872,0.005781155008861254,False
PM2_MIN,10,2025-02-21 01:00:00,9.72876055379888,9.229135063111471,0.21054471726965782,2.373013662686712,0.006423505565401434,False
PM2_MIN,11,2025-02-21 02:00:00,9.734969942512102,9.229135063111471,0.21054471726965782,2.4025056812647367,0.007065856121941615,False
PM2_MIN,12,2025-02-21 03:00:00,9.741179331225322,9.229135063111471,0.21054471726965782,2.4319976998427535,0.007708206678481612,False
PM10_MAX,1,2025-02-20 16:00:00,15.626693171367464,13.559194914911336,1.1472155236645813,1.802188179821576,0.010346541252206699,False
PM10_MAX,2,2025-02-20 17:00:00,15.786719676068262,13.559194914911336,1.1472155236645813,1.941679410021828,0.020693082504413512,False
PM10_MAX,3,2025-02-20 18:00:00,15.946746180769061,13.559194914911336,1.1472155236645813,2.08117064022208,0.031039623756620324,False
PM10_MAX,4,2025-02-20 19:00:00,16.10677268546986,13.559194914911336,1.1472155236645813,2.2206618704223318,0.041386165008827136,False
