event_time,signals,max_value,max_z,max_rel_change
2019-01-07 01:00:00,OZONE_MIN,5.395402298850574,4.235852158162601,1.1336363636363636
2019-01-07 02:00:00,"OZONE_MIN,PM10_MAX,PM10_MIN",8.578197997775305,3.827632973812834,0.589908874747447
2019-01-09 00:00:00,"OZONE_MAX,OZONE_MIN",10.27993146284001,3.2351502713994615,0.9545196134167138
2019-02-05 00:00:00,"PM10_MAX,PM10_MIN,PM2_MAX,PM2_MIN",18.652533333333334,4.694855340334614,0.8906496547778103
2019-02-05 02:00:00,OZONE_MIN,0.24954670040059035,-3.738504209080425,0.9418518499704233
2019-02-06 02:00:00,OZONE_MAX,6.714802161131419,-3.717258385248512,0.5821157528399424
2019-02-07 01:00:00,OZONE_MIN,6.193548387096775,4.181280677987014,1.0
2019-02-07 02:00:00,"PM10_MIN,PM2_MIN",2.8924731182795713,-3.674369057562173,0.56629225560273
2019-02-09 00:00:00,"OZONE_MAX,OZONE_MIN",9.562626262626265,3.5616306733304386,0.7912195896046189
2019-03-05 00:00:00,SO2_MAX,6.460593351264556,4.694855340334453,0.8063483647001375
2019-03-05 02:00:00,OZONE_MIN,1.6008714596949891,-3.7274484571262643,0.6636842145339419
2019-03-06 02:00:00,OZONE_MAX,4.718029953917053,-3.6776797518200155,0.745391526003295
2019-03-07 01:00:00,OZONE_MIN,1.4285714285714286,4.447779007015233,1.9999999999999998
2019-03-07 02:00:00,OZONE_MIN,3.5468509984639014,4.315623054344182,1.482795698924731
2019-03-07 03:00:00,OZONE_MIN,5.7126358309154,3.869914724872229,0.610621882168006
2019-03-09 00:00:00,"OZONE_MAX,OZONE_MIN",11.637254901960787,3.734744561396357,0.5723396948437423
2019-04-05 00:00:00,"CO_MIN,PM10_MAX,PM10_MIN,PM2_MAX,PM2_MIN,SO2_MAX,SO2_MIN",30.198115555555557,4.694855340335449,1.4864085276424543
2019-04-05 01:00:00,"OZONE_MIN,PM2_MIN",13.113381218637992,4.189094201847857,0.6084968305524139
2019-04-05 02:00:00,OZONE_MIN,0.0,-3.7302814907189137,1.0
2019-04-06 02:00:00,OZONE_MAX,5.74444444444445,-3.666058215183601,0.6725183241335624
2019-04-06 16:00:00,OZONE_MIN,0.8680555555555557,4.409721575256498,1.7777777777777781
2019-04-07 01:00:00,OZONE_MIN,5.916666666666667,4.036290560627941,1.0
2019-04-07 02:00:00,OZONE_MIN,8.970430107526882,3.7173071322184112,0.5161290322580645
2019-04-08 02:00:00,PM2_MAX,2.630970017636684,-3.631187709521057,0.5210059209596836
2019-04-09 00:00:00,"OZONE_MAX,OZONE_MIN",10.046400187003279,3.4191274959012086,0.8579770118712117
2019-04-13 00:00:00,"CO_MIN,PM10_MAX,PM10_MIN,PM2_MAX,PM2_MIN",43.20721146276177,4.694855340334937,2.022665681202266
2019-04-13 01:00:00,"OZONE_MIN,PM10_MIN,PM2_MAX,PM2_MIN",24.022442922374434,4.179859557341931,0.6659432988290271
2019-04-13 02:00:00,OZONE_MIN,0.0,-3.7302814907189084,1.0
2019-04-16 14:00:00,OZONE_MIN,0.05555555555555555,4.551979555212156,3.0
2019-04-18 19:00:00,OZONE_MIN,0.020517676767676768,4.194834348713744,1.0312499999999998
2019-04-18 20:00:00,OZONE_MIN,0.041351010101010104,4.095359509107665,1.0153846153846156
2019-04-23 20:00:00,OZONE_MIN,0.030024509803921576,4.42862190064708,1.8823529411764688
2019-04-23 21:00:00,OZONE_MIN,0.056691176470588245,4.079158198762558,0.8881632653061223
2019-04-29 23:00:00,SO2_MIN,0.10920634920634921,4.645513954695884,5.880000000000001
2019-04-30 00:00:00,SO2_MIN,0.2245909645909646,4.199531853572937,1.0565742397137745
2019-04-30 21:00:00,OZONE_MIN,0.0638888888888889,4.4273534661813985,1.8749999999999996
2019-05-05 00:00:00,"OZONE_MAX,SO2_MIN",19.39409807451045,4.69485534033494,1.7143636851404727
2019-05-05 01:00:00,"OZONE_MAX,SO2_MIN",30.085937926144112,4.181280677986979,0.6061345511553408
2019-05-05 02:00:00,OZONE_MIN,0.0,-3.730281491023428,1.0
2019-05-06 07:00:00,OZONE_MIN,0.11328976034858389,4.429742041830014,1.8888888888888877
2019-05-07 00:00:00,OZONE_MIN,2.853276353276353,4.677982136462853,26.19728434504792
2019-05-07 01:00:00,OZONE_MIN,5.814814814814814,4.208811986683231,1.0379430853719418
2019-05-08 02:00:00,PM2_MIN,1.4027159807193204,-3.7463474669606756,0.5895492025604856
2019-05-09 00:00:00,OZONE_MIN,6.56712962962963,3.484151097138919,0.6492268340890595
2019-05-13 00:00:00,"CO_MIN,PM10_MIN,PM2_MAX,PM2_MIN",39.2150262844864,4.694855340341142,1.1032074004322392
2019-05-13 01:00:00,"OZONE_MIN,PM2_MIN",12.312333030624734,4.181722191016644,0.5250600102049297
2019-05-13 02:00:00,OZONE_MIN,0.0,-3.7302814907188986,1.0
2019-05-25 08:00:00,OZONE_MAX,9.261679292929292,4.103943072905888,1.3576536761751703
2019-06-05 06:00:00,OZONE_MAX,13.447321107515284,4.694855340331836,0.8608249987560335
2019-06-07 01:00:00,"OZONE_MAX,OZONE_MIN",8.53099078341014,4.13243213373807,0.8962510897994768
2019-06-07 02:00:00,"OZONE_MAX,OZONE_MIN",13.42741935483871,3.8143274264305562,0.6104980842911879
2019-06-09 00:00:00,"OZONE_MAX,OZONE_MIN",9.322751322751325,3.497771372627885,0.896663078579117
2019-06-09 01:00:00,OZONE_MAX,14.427513227513229,4.204768387627145,0.5475595913734391
